Wed Feb 28 11:13:29 2018    ../cProfile_results/001001010101011111/cProfile.log

         333297241 function calls (322573531 primitive calls) in 945.514 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1093038    0.599    0.000    0.686    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:586(next_token)
   168542    0.596    0.000    0.657    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py:260(__init__)
   592092    0.594    0.000    0.594    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:591(<genexpr>)
497912/497730    0.588    0.000    2.870    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/dispatch/dispatcher.py:168(send)
168542/282    0.586    0.000   31.228    0.111 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/promise/promise.py:42(__init__)
   305758    0.582    0.000    0.894    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/__init__.py:942(get_prep_value)
   281844    0.581    0.000   22.070    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/loaders/eggs.py:36(get_contents)
    31941    0.580    0.000    2.468    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/urls/resolvers.py:337(_reverse_with_prefix)
   273426    0.579    0.000    3.865    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py:346(pgettext)
  3087920    0.577    0.000    0.577    0.000 {binascii.b2a_hex}
   762936    0.566    0.000    1.860    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django_countries/__init__.py:25(sort_key)
   142774    0.566    0.000    3.288    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:1422(_get_path_info)
   813578    0.566    0.000    0.566    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:407(related_query_name)
942429/935021    0.565    0.000    8.644    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py:115(__text_cast)
87353/62808    0.549    0.000    5.136    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/copy.py:306(_reconstruct)
   281844    0.549    0.000    1.392    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/pkg_resources/__init__.py:1446(__init__)
  2801320    0.548    0.000    0.660    0.000 {method 'extend' of 'list' objects}
